t,y
2.3594,9.58542
2.3608,9.59347
2.3622,9.60152
2.3636,9.60956
2.365,9.61761
2.3664,9.62566
2.3678,9.63371
2.3692,9.64176
2.3706,9.64981
2.372,9.65786
2.3734,9.66591
2.3748,9.67396
2.3762,9.682
2.3776,9.69005
2.379,9.6981
2.3804,9.70615
2.3818,9.7142
2.3832,9.72225
2.3846,9.7303
2.386,9.73835
2.3874,9.74639
2.3888,9.75444
2.3902,9.76249
2.3916,9.77054
2.393,9.77859
2.3944,9.78664
2.3958,9.79469
2.3972,9.80274
2.3986,9.81079
2.4,9.81883
2.4014,9.82688
2.4028,9.83493
2.4042,9.84298
2.4056,9.85103
2.407,9.85908
2.4084,9.86713
2.4098,9.87518
2.4112,9.88323
2.4126,9.89127
2.414,9.89932
2.4154,9.90737
2.4168,9.91542
2.4182,9.92347
2.4196,9.93152
2.421,9.93957
2.4224,9.94762
2.4238,9.95566
2.4252,9.96371
2.4266,9.97176
2.428,9.97981
2.4294,9.98786
2.4308,9.99591
2.4322,10.004
2.4336,10.012
2.435,10.0201
2.4364,10.0281
2.4378,10.0362
2.4392,10.0442
2.4406,10.0523
2.442,10.0603
2.4434,10.0683
2.4448,10.0764
2.4462,10.0844
2.4476,10.0925
2.449,10.1005
2.4504,10.1086
2.4518,10.1166
2.4532,10.1247
2.4546,10.1327
2.456,10.1408
2.4574,10.1488
2.4588,10.1569
2.4602,10.1649
2.4616,10.173
2.463,10.181
2.4644,10.1891
2.4658,10.1971
2.4672,10.2052
2.4686,10.2132
2.47,10.2213
2.4714,10.2293
2.4728,10.2374
2.4742,10.2454
2.4756,10.2535
2.477,10.2615
2.4784,10.2696
2.4798,10.2776
2.4812,10.2857
2.4826,10.2937
2.484,10.3018
2.4854,10.3098
2.4868,10.3179
2.4882,10.3259
2.4896,10.334
2.491,10.342
2.4924,10.3501
2.4938,10.3581
2.4952,10.3662
2.4966,10.3742
2.498,10.3823
2.4994,10.3903
2.5008,10.3984
2.5022,10.4064
2.5036,10.4144
2.505,10.4225
2.5064,10.4305
2.5078,10.4386
2.5092,10.4466
2.5106,10.4547
2.512,10.4627
2.5134,10.4708
2.5148,10.4788
2.5162,10.4869
2.5176,10.4949
2.519,10.503
2.5204,10.511
2.5218,10.5191
2.5232,10.5271
2.5246,10.5352
2.526,10.5432
2.5274,10.5513
2.5288,10.5593
2.5302,10.5674
2.5316,10.5754
2.533,10.5835
2.5344,10.5915
2.5358,10.5996
2.5372,10.6076
2.5386,10.6157
2.54,10.6237
2.5414,10.6318
2.5428,10.6398
2.5442,10.6479
2.5456,10.6559
2.547,10.664
2.5484,10.672
2.5498,10.6801
2.5512,10.6881
2.5526,10.6962
2.554,10.7042
2.5554,10.7123
2.5568,10.7203
2.5582,10.7284
2.5596,10.7364
2.561,10.7445
2.5624,10.7525
2.5638,10.7605
2.5652,10.7686
2.5666,10.7766
2.568,10.7847
2.5694,10.7927
2.5708,10.8008
2.5722,10.8088
2.5736,10.8169
2.575,10.8249
2.5764,10.833
2.5778,10.841
2.5792,10.8491
2.5806,10.8571
2.582,10.8652
2.5834,10.8732
2.5848,10.8813
2.5862,10.8893
2.5876,10.8974
2.589,10.9054
2.5904,10.9135
2.5918,10.9215
2.5932,10.9296
2.5946,10.9376
2.596,10.9457
2.5974,10.9537
2.5988,10.9618
2.6002,10.9698
2.6016,10.9779
2.603,10.9859
2.6044,10.994
2.6058,11.002
2.6072,11.0101
2.6086,11.0181
2.61,11.0262
2.6114,11.0342
2.6128,11.0423
2.6142,11.0503
2.6156,11.0584
2.617,11.0664
2.6184,11.0745
2.6198,11.0825
2.6212,11.0906
2.6226,11.0986
2.624,11.1066
2.6254,11.1147
2.6268,11.1227
2.6282,11.1308
2.6296,11.1388
2.631,11.1469
2.6324,11.1549
2.6338,11.163
2.6352,11.171
2.6366,11.1791
2.638,11.1871
2.6394,11.1952
2.6408,11.2032
2.6422,11.2113
2.6436,11.2193
2.645,11.2274
2.6464,11.2354
2.6478,11.2435
2.6492,11.2515
2.6506,11.2596
2.652,11.2676
2.6534,11.2757
2.6548,11.2837
2.6562,11.2918
2.6576,11.2998
2.659,11.3079
2.6604,11.3159
2.6618,11.324
2.6632,11.332
2.6646,11.3401
2.666,11.3481
2.6674,11.3562
2.6688,11.3642
2.6702,11.3723
2.6716,11.3803
2.673,11.3884
2.6744,11.3964
2.6758,11.4045
2.6772,11.4125
2.6786,11.4206
2.68,11.4286
2.6814,11.4367
2.6828,11.4447
2.6842,11.4527
2.6856,11.4608
2.687,11.4688
2.6884,11.4769
2.6898,11.4849
2.6912,11.493
2.6926,11.501
2.694,11.5091
2.6954,11.5171
2.6968,11.5252
2.6982,11.5332
2.6996,11.5413
2.701,11.5493
2.7024,11.5574
2.7038,11.5654
2.7052,11.5735
2.7066,11.5815
2.708,11.5896
2.7094,11.5976
2.7108,11.6057
2.7122,11.6137
2.7136,11.6218
2.715,11.6298
2.7164,11.6379
2.7178,11.6459
2.7192,11.654
2.7206,11.662
2.722,11.6701
2.7234,11.6781
2.7248,11.6862
2.7262,11.6942
2.7276,11.7023
2.729,11.7103
2.7304,11.7184
2.7318,11.7264
2.7332,11.7345
2.7346,11.7425
2.736,11.7506
2.7374,11.7586
2.7388,11.7667
2.7402,11.7747
2.7416,11.7828
2.743,11.7908
2.7444,11.7988
2.7458,11.8069
2.7472,11.8149
2.7486,11.823
2.75,11.831
2.7514,11.8391
2.7528,11.8471
2.7542,11.8552
2.7556,11.8632
2.757,11.8713
2.7584,11.8793
2.7598,11.8874
2.7612,11.8954
2.7626,11.9035
2.764,11.9115
2.7654,11.9196
2.7668,11.9276
2.7682,11.9357
2.7696,11.9437
2.771,11.9518
2.7724,11.9598
2.7738,11.9679
2.7752,11.9759
2.7766,11.984
2.778,11.992
2.7794,12.0001
2.7808,12.0081
2.7822,12.0162
2.7836,12.0242
2.785,12.0323
2.7864,12.0403
2.7878,12.0484
2.7892,12.0564
2.7906,12.0645
2.792,12.0725
2.7934,12.0806
2.7948,12.0886
2.7962,12.0967
2.7976,12.1047
2.799,12.1128
2.8004,12.1208
2.8018,12.1289
2.8032,12.1369
2.8046,12.1449
2.806,12.153
2.8074,12.161
2.8088,12.1691
2.8102,12.1771
2.8116,12.1852
2.813,12.1932
